id_trabajador;edad;genero;nivel_educativo;num_hijos;tipo_cargo;capacitado;jornada;antiguedad;empresa;Accidentado
53;45;0;universitario;3;1;0;diurna;11;23;0
55;61;0;bachiller;3;1;0;mixta;13;146;0
56;70;1;tecnico;3;0;1;mixta;12;43;0
57;34;0;universitario;1;0;1;mixta;4;109;0
59;49;0;tecnico;0;1;1;diurna;11;4;0
60;38;0;universitario;0;0;1;diurna;6;129;0
61;76;1;universitario;2;0;0;diurna;10;140;0
62;39;0;tecnico;0;0;1;mixta;11;150;1
63;50;0;tecnico;2;1;0;nocturna;12;125;0
64;40;0;bachiller;0;1;0;nocturna;13;98;0
65;29;1;tecnico;2;0;0;diurna;11;10;0
66;43;1;tecnico;0;0;0;nocturna;14;9;0
68;62;1;tecnico;1;0;1;mixta;15;21;1
69;42;0;bachiller;1;1;0;mixta;15;135;0
70;73;1;bachiller;0;1;0;diurna;13;48;0
71;47;0;bachiller;2;0;0;diurna;12;100;0
72;29;1;bachiller;2;0;0;diurna;6;75;1
73;49;0;bachiller;3;0;1;nocturna;8;120;1
74;26;1;bachiller;4;0;0;diurna;7;101;1
75;21;0;bachiller;1;1;1;mixta;3;37;0
76;44;1;universitario;1;0;0;diurna;5;92;1
77;33;1;bachiller;0;0;1;diurna;6;72;1
78;40;1;tecnico;0;0;0;mixta;8;138;1
79;41;1;tecnico;2;0;0;diurna;10;102;0
81;31;1;tecnico;2;1;0;diurna;11;97;0
82;38;0;universitario;2;0;0;diurna;10;102;0
83;58;0;bachiller;1;0;1;diurna;10;41;0
85;49;1;bachiller;4;1;0;diurna;7;89;0
86;45;1;tecnico;3;0;1;diurna;9;43;1
87;56;0;tecnico;0;0;0;diurna;9;60;0
88;35;0;bachiller;1;1;0;diurna;9;46;0
89;46;0;universitario;2;0;1;nocturna;3;110;0
90;44;1;tecnico;3;1;0;nocturna;12;39;0
92;58;1;tecnico;0;0;1;diurna;7;108;0
93;57;1;tecnico;1;0;1;diurna;12;39;0
94;51;0;tecnico;2;0;1;diurna;11;88;1
95;64;0;tecnico;3;0;1;mixta;13;92;1
96;48;1;bachiller;0;0;0;diurna;8;34;1
98;31;1;bachiller;0;0;0;nocturna;4;71;0
100;33;1;tecnico;2;0;0;diurna;9;57;0
101;31;0;bachiller;2;0;0;diurna;12;129;0
102;41;1;tecnico;2;0;0;nocturna;12;22;0
103;26;1;tecnico;0;0;0;nocturna;10;54;1
104;42;0;tecnico;2;0;0;diurna;5;64;0
105;30;1;bachiller;1;0;0;diurna;11;109;0
106;67;0;tecnico;1;0;1;diurna;4;113;0
107;51;0;tecnico;0;0;1;mixta;14;70;0
108;54;0;tecnico;1;0;0;mixta;14;98;0
109;46;0;bachiller;0;1;0;diurna;13;125;0
110;65;1;bachiller;0;1;1;nocturna;10;122;0
111;30;1;bachiller;1;0;1;mixta;8;108;0
112;33;1;universitario;0;0;0;diurna;12;132;0
113;61;1;tecnico;0;0;0;diurna;13;34;0
114;30;0;tecnico;0;0;1;diurna;12;53;0
115;37;0;tecnico;3;0;0;diurna;6;42;0
116;34;1;tecnico;2;0;1;mixta;16;84;0
117;35;0;tecnico;2;0;0;diurna;5;11;1
118;36;0;bachiller;2;1;1;nocturna;14;135;0
119;47;1;maestria;0;1;0;diurna;14;116;0
120;37;0;tecnico;1;0;1;diurna;11;141;1
121;32;1;bachiller;2;0;1;diurna;4;107;0
122;60;0;bachiller;2;0;0;diurna;16;51;0
123;37;0;maestria;2;1;0;nocturna;13;81;0
124;37;1;tecnico;0;0;0;nocturna;9;49;0
125;38;1;bachiller;1;0;1;diurna;13;7;0
126;51;0;universitario;1;0;1;nocturna;16;6;1
127;39;0;tecnico;2;1;0;diurna;12;21;0
128;39;1;bachiller;1;0;0;diurna;10;19;0
129;30;1;universitario;3;0;1;diurna;4;60;0
130;35;1;bachiller;1;0;1;nocturna;14;146;1
131;41;1;bachiller;0;0;1;diurna;8;22;0
132;31;0;tecnico;1;0;1;diurna;13;98;0
133;48;1;bachiller;1;0;1;diurna;13;47;0
135;45;1;bachiller;3;1;1;diurna;15;142;0
137;35;1;tecnico;0;0;1;diurna;12;98;1
138;32;1;tecnico;0;0;0;mixta;14;82;1
139;30;1;bachiller;1;0;1;nocturna;11;9;1
140;39;1;tecnico;1;0;0;diurna;14;17;1
142;58;1;bachiller;0;0;1;diurna;7;8;0
144;33;1;bachiller;3;1;0;nocturna;11;147;0
146;29;0;universitario;0;0;0;diurna;10;45;1
147;71;0;tecnico;1;0;0;diurna;6;48;0
148;40;0;bachiller;3;1;0;diurna;12;137;0
151;47;1;bachiller;2;0;0;diurna;9;109;1
152;40;0;tecnico;0;0;0;diurna;14;103;0
153;35;0;tecnico;3;0;0;diurna;6;1;0
154;26;1;tecnico;0;1;1;nocturna;9;68;0
156;24;1;bachiller;0;1;0;nocturna;7;73;0
157;55;1;tecnico;0;0;0;nocturna;4;149;1
158;31;1;bachiller;0;0;1;mixta;15;9;1
160;68;0;bachiller;0;1;0;diurna;10;44;1
161;46;0;especializacion;4;1;0;mixta;11;90;0
162;36;0;maestria;1;1;1;mixta;10;99;0
163;56;0;bachiller;1;0;1;diurna;10;33;1
164;53;0;universitario;3;0;0;mixta;13;111;1
165;31;0;bachiller;2;0;0;mixta;14;21;0
166;73;0;tecnico;2;0;0;nocturna;9;55;1
167;36;1;bachiller;3;0;0;diurna;11;147;0
169;38;1;bachiller;2;0;0;diurna;11;8;0
170;43;0;tecnico;1;0;0;mixta;2;93;1
171;75;1;tecnico;1;0;1;diurna;1;133;1
172;42;0;bachiller;0;0;0;mixta;12;15;1
173;47;0;bachiller;1;0;0;mixta;15;70;0
174;39;0;tecnico;3;0;1;diurna;5;145;0
175;35;1;tecnico;0;0;1;diurna;12;26;0
176;39;1;universitario;1;0;0;nocturna;11;139;0
177;52;1;tecnico;2;0;0;diurna;13;109;0
178;71;1;bachiller;2;0;0;diurna;15;122;1
179;55;0;tecnico;0;0;1;diurna;11;1;0
180;58;0;tecnico;1;0;1;nocturna;8;129;1
182;55;1;tecnico;0;0;0;diurna;19;60;1
183;43;0;tecnico;0;0;1;nocturna;15;141;0
185;48;1;bachiller;0;0;0;mixta;12;47;0
186;38;0;tecnico;1;0;1;nocturna;8;127;0
187;62;1;bachiller;3;0;0;mixta;14;41;1
188;29;1;universitario;0;0;1;diurna;12;60;1
189;34;1;bachiller;1;0;0;diurna;3;14;0
190;26;1;bachiller;1;1;1;diurna;7;15;0
191;37;0;bachiller;1;0;0;diurna;2;117;0
192;46;0;tecnico;3;1;0;diurna;15;145;0
193;29;1;maestria;1;1;1;mixta;9;95;1
194;52;0;bachiller;1;0;0;diurna;6;99;0
197;62;0;bachiller;2;1;1;diurna;6;40;0
199;46;0;bachiller;1;0;0;diurna;8;71;0
200;34;1;bachiller;0;0;0;diurna;13;111;0
201;46;1;tecnico;2;0;1;diurna;18;93;1
202;65;0;tecnico;3;1;1;mixta;13;54;1
203;64;1;tecnico;1;0;0;diurna;10;5;0
204;35;0;tecnico;1;0;0;diurna;12;100;0
206;77;0;tecnico;1;0;0;diurna;5;56;0
207;50;0;bachiller;2;0;0;diurna;8;7;0
208;48;1;bachiller;2;0;1;diurna;12;11;0
209;40;0;bachiller;3;0;0;diurna;4;78;0
210;48;0;bachiller;0;0;1;diurna;15;51;0
211;38;1;tecnico;2;0;0;diurna;10;47;0
212;46;1;tecnico;1;1;0;diurna;4;20;0
213;34;1;especializacion;1;1;1;diurna;7;110;1
215;55;0;maestria;0;1;1;nocturna;6;54;0
216;63;0;bachiller;4;0;1;diurna;16;75;0
217;35;0;bachiller;0;0;1;diurna;9;85;1
219;50;1;tecnico;2;0;0;diurna;6;107;0
220;39;0;bachiller;2;0;1;mixta;8;84;0
222;40;0;tecnico;2;0;0;mixta;5;28;0
223;31;1;tecnico;1;1;0;diurna;14;31;0
224;35;1;tecnico;1;0;1;diurna;12;86;0
226;67;1;tecnico;2;0;0;mixta;15;40;0
227;35;1;tecnico;3;0;0;mixta;10;22;0
229;43;0;universitario;0;0;1;diurna;8;139;1
230;44;1;especializacion;1;1;1;nocturna;2;120;0
233;30;0;tecnico;1;0;1;diurna;10;91;0
234;49;1;tecnico;1;0;0;nocturna;9;44;1
235;39;1;tecnico;1;0;0;nocturna;16;139;1
236;39;1;bachiller;3;0;1;diurna;4;39;0
237;48;0;tecnico;1;1;0;diurna;10;18;0
239;56;1;bachiller;1;0;1;nocturna;10;58;1
240;40;1;tecnico;1;0;0;diurna;8;142;0
241;51;0;tecnico;0;0;0;diurna;8;20;0
242;56;0;bachiller;2;0;1;diurna;11;110;1
243;43;0;tecnico;2;0;0;diurna;6;7;0
245;57;1;maestria;2;1;1;diurna;9;54;0
247;32;1;bachiller;0;0;1;diurna;8;145;1
248;36;1;tecnico;4;0;1;mixta;10;79;1
249;38;0;bachiller;2;1;0;diurna;3;103;1
250;55;0;tecnico;2;0;1;diurna;13;104;0
251;42;0;universitario;0;1;0;diurna;4;84;0
252;46;1;bachiller;0;0;1;mixta;0;132;1
253;39;0;bachiller;2;0;1;diurna;5;7;0
254;36;0;bachiller;1;0;1;nocturna;9;124;0
255;50;1;universitario;0;0;0;nocturna;8;92;1
256;57;1;bachiller;1;0;1;mixta;8;146;0
258;49;1;bachiller;1;1;0;mixta;17;82;0
259;46;1;bachiller;3;0;1;diurna;10;120;1
260;34;1;tecnico;3;1;0;mixta;11;139;0
261;54;1;universitario;2;1;0;diurna;7;148;0
262;34;1;bachiller;3;0;1;diurna;4;77;0
264;53;0;tecnico;1;0;1;nocturna;14;88;1
265;66;1;tecnico;3;0;1;diurna;14;11;0
266;44;1;universitario;2;0;1;nocturna;12;98;0
267;34;0;bachiller;0;0;0;nocturna;8;14;1
269;35;1;tecnico;1;0;0;mixta;6;2;1
271;36;1;especializacion;0;1;0;nocturna;13;118;1
272;46;0;especializacion;2;1;1;nocturna;11;75;0
273;27;0;tecnico;3;0;0;mixta;9;101;0
274;80;0;bachiller;3;0;1;mixta;6;142;0
275;42;0;universitario;0;0;1;mixta;11;104;0
276;57;0;tecnico;1;1;1;diurna;20;54;0
278;51;0;bachiller;0;1;1;nocturna;13;88;1
280;54;0;bachiller;0;0;0;diurna;15;92;1
281;46;1;bachiller;0;1;1;diurna;18;137;0
282;34;1;tecnico;0;0;1;diurna;13;10;0
283;60;1;tecnico;0;1;0;nocturna;4;149;1
284;29;1;universitario;1;0;1;mixta;8;80;0
285;31;0;bachiller;0;0;0;nocturna;11;113;0
286;25;1;tecnico;1;0;1;diurna;8;40;0
287;30;0;tecnico;1;0;0;mixta;11;5;1
288;54;1;tecnico;5;0;0;diurna;12;96;0
289;47;1;universitario;2;0;1;nocturna;9;80;1
290;55;0;tecnico;2;0;0;diurna;14;10;0
291;34;1;bachiller;2;0;1;diurna;7;37;0
292;46;1;bachiller;1;0;0;nocturna;17;25;1
293;44;1;universitario;0;0;0;diurna;6;109;0
295;67;1;universitario;0;0;1;diurna;3;118;0
296;42;1;tecnico;1;1;0;diurna;10;105;0
297;51;1;bachiller;4;0;1;mixta;9;24;1
298;54;1;bachiller;3;0;1;nocturna;6;5;1
299;39;0;bachiller;2;1;1;diurna;1;51;0
300;35;1;tecnico;1;0;0;diurna;7;140;1
301;53;0;especializacion;0;1;0;nocturna;12;85;1
303;70;1;tecnico;5;0;0;diurna;10;44;0
304;34;1;tecnico;2;0;1;diurna;8;103;0
305;65;0;universitario;2;1;1;diurna;8;89;1
306;63;1;bachiller;2;1;0;diurna;5;24;0
307;41;0;bachiller;2;1;0;mixta;17;91;0
308;49;1;universitario;1;1;1;diurna;9;109;0
309;25;0;tecnico;3;0;1;diurna;6;56;0
310;45;1;bachiller;4;1;0;diurna;14;21;0
311;56;0;bachiller;1;0;0;diurna;14;93;0
312;41;0;tecnico;0;0;1;diurna;15;113;1
313;33;0;universitario;1;0;1;diurna;17;115;0
314;30;1;bachiller;1;1;0;diurna;0;73;0
315;39;0;universitario;0;0;0;diurna;13;38;0
316;56;1;bachiller;3;0;0;diurna;15;76;0
317;33;1;tecnico;0;0;1;diurna;12;112;0
318;38;0;tecnico;2;0;1;nocturna;5;147;1
320;47;0;bachiller;2;0;1;mixta;4;61;1
321;60;1;tecnico;0;0;1;nocturna;6;94;0
322;62;1;bachiller;0;0;0;nocturna;7;124;1
323;52;1;bachiller;2;0;0;nocturna;19;108;0
325;47;1;tecnico;3;0;0;nocturna;13;13;1
326;47;0;bachiller;1;1;1;nocturna;8;8;1
327;35;0;tecnico;3;0;0;nocturna;11;25;1
328;43;0;bachiller;2;0;0;nocturna;8;85;0
329;27;0;bachiller;4;1;1;mixta;6;141;1
330;50;1;bachiller;3;0;0;diurna;8;17;0
331;35;1;bachiller;2;0;1;nocturna;13;88;1
333;34;1;tecnico;3;0;0;nocturna;14;53;1
334;60;1;tecnico;0;0;0;mixta;11;54;0
335;35;1;bachiller;0;0;0;diurna;10;123;1
336;51;0;bachiller;3;0;1;mixta;6;63;1
337;54;0;bachiller;2;0;0;diurna;5;53;0
338;40;0;tecnico;0;1;0;nocturna;14;42;1
339;35;1;tecnico;3;0;1;diurna;10;116;0
340;32;1;tecnico;0;0;1;mixta;15;140;1
341;51;0;especializacion;1;1;1;mixta;6;19;0
342;24;1;tecnico;0;0;1;diurna;6;33;0
343;44;0;universitario;1;0;0;diurna;3;92;1
344;36;1;bachiller;1;0;1;diurna;4;44;0
347;54;0;tecnico;0;0;1;diurna;15;126;1
348;37;0;tecnico;0;0;0;nocturna;11;5;0
349;52;0;bachiller;0;1;0;diurna;10;60;0
350;68;1;tecnico;3;0;0;mixta;12;42;0
351;62;0;bachiller;3;0;0;nocturna;12;103;0
352;50;1;tecnico;0;0;1;diurna;10;143;0
353;46;0;tecnico;4;0;0;diurna;5;117;0
354;37;0;tecnico;3;0;0;diurna;13;82;0
355;64;0;bachiller;0;0;1;diurna;9;124;1
356;49;1;tecnico;1;0;0;diurna;9;129;0
358;38;1;tecnico;2;0;1;nocturna;2;140;1
360;37;0;universitario;4;0;1;nocturna;19;41;1
362;60;0;bachiller;0;0;0;mixta;1;69;0
363;30;0;bachiller;0;0;1;mixta;10;53;0
364;34;0;bachiller;2;0;1;mixta;10;68;0
365;37;1;tecnico;2;0;0;diurna;13;88;0
366;49;1;bachiller;0;0;0;diurna;8;35;1
367;50;1;bachiller;1;0;0;diurna;11;68;0
368;49;1;bachiller;1;0;0;diurna;13;89;1
371;34;1;tecnico;0;0;1;diurna;4;80;0
372;44;1;bachiller;0;0;1;diurna;14;139;0
373;28;1;tecnico;0;0;1;diurna;12;147;1
374;39;0;tecnico;0;0;0;mixta;9;18;0
376;40;1;tecnico;3;0;0;diurna;6;132;1
377;42;0;bachiller;4;0;0;diurna;12;64;1
378;38;0;tecnico;0;0;1;nocturna;11;50;1
379;38;1;universitario;1;0;1;diurna;14;23;0
380;66;0;bachiller;0;0;0;nocturna;3;140;1
381;51;0;bachiller;0;0;0;mixta;4;68;0
382;57;0;tecnico;1;1;1;diurna;19;46;1
384;42;0;bachiller;1;1;1;diurna;13;33;0
385;57;1;bachiller;2;0;1;mixta;9;28;0
386;39;1;tecnico;2;0;0;diurna;11;91;0
387;18;1;tecnico;2;0;0;nocturna;1;32;1
388;45;0;tecnico;1;0;0;nocturna;14;138;0
390;28;0;universitario;1;0;0;nocturna;9;25;0
391;60;1;universitario;0;0;0;diurna;7;128;0
392;49;1;tecnico;3;0;0;diurna;11;12;0
393;56;1;bachiller;1;0;0;nocturna;6;107;0
394;45;1;bachiller;5;1;0;nocturna;8;121;0
395;38;1;bachiller;1;1;0;diurna;11;15;1
397;64;1;bachiller;0;0;1;diurna;13;5;0
398;41;1;tecnico;3;0;0;diurna;6;39;0
399;29;0;bachiller;0;1;0;nocturna;7;77;1
400;53;1;universitario;1;0;1;mixta;14;22;1
401;56;0;tecnico;0;1;0;mixta;9;43;0
402;68;1;tecnico;2;0;1;diurna;15;129;0
403;31;1;bachiller;1;0;1;diurna;8;62;0
404;34;0;bachiller;1;1;1;diurna;15;58;0
405;34;0;tecnico;3;0;0;diurna;16;133;0
406;34;1;tecnico;0;0;1;nocturna;13;135;0
407;35;1;tecnico;0;1;1;diurna;12;14;1
408;36;0;bachiller;0;1;1;diurna;16;28;1
409;62;1;bachiller;1;0;0;diurna;10;74;1
410;30;0;tecnico;1;0;1;mixta;4;16;0
411;34;0;tecnico;3;1;0;diurna;9;122;0
412;50;1;universitario;2;0;0;diurna;2;92;1
413;57;0;tecnico;0;0;0;nocturna;12;74;0
414;28;1;bachiller;4;0;1;mixta;11;67;0
415;32;1;tecnico;3;0;0;mixta;10;29;0
416;48;0;tecnico;2;0;0;diurna;12;132;0
417;55;1;universitario;0;1;1;diurna;6;117;1
418;36;0;tecnico;1;0;0;diurna;11;148;0
420;66;1;universitario;1;1;0;nocturna;6;70;0
421;62;0;tecnico;1;0;0;diurna;3;106;0
422;29;1;bachiller;0;0;1;diurna;13;35;1
423;39;1;bachiller;0;0;0;nocturna;10;124;0
425;49;1;tecnico;2;0;0;diurna;7;96;0
426;64;1;bachiller;1;1;1;diurna;14;82;0
428;28;1;tecnico;0;0;0;diurna;7;40;1
429;30;1;tecnico;2;1;0;nocturna;10;114;0
430;30;0;bachiller;1;1;1;diurna;14;71;1
432;48;1;tecnico;0;0;0;diurna;9;58;0
434;40;0;bachiller;1;1;0;diurna;11;128;0
435;49;0;bachiller;4;0;0;nocturna;13;85;1
436;37;1;especializacion;1;1;0;mixta;3;85;1
437;53;0;bachiller;3;0;0;nocturna;13;13;1
438;40;1;tecnico;2;0;0;diurna;7;137;0
440;50;0;tecnico;2;0;1;diurna;4;137;0
441;33;1;tecnico;1;0;0;diurna;7;30;0
442;67;0;bachiller;1;1;0;nocturna;17;52;0
443;40;0;universitario;4;0;0;diurna;12;15;0
444;53;0;tecnico;2;0;1;diurna;9;135;0
445;43;0;bachiller;0;0;0;diurna;12;122;0
448;34;1;tecnico;2;0;1;nocturna;7;109;0
449;44;1;tecnico;0;1;1;diurna;9;51;0
451;54;0;universitario;5;0;0;diurna;5;73;0
453;29;0;tecnico;1;0;1;diurna;7;84;0
456;41;0;tecnico;3;0;0;mixta;6;121;0
457;48;1;tecnico;3;1;1;diurna;5;85;0
460;48;0;tecnico;3;0;1;diurna;9;119;1
461;33;0;tecnico;0;0;1;diurna;10;10;0
462;72;1;bachiller;1;0;1;nocturna;10;49;1
463;59;0;bachiller;1;0;0;diurna;11;137;1
464;49;0;tecnico;1;1;0;diurna;13;114;1
465;40;0;bachiller;2;0;1;nocturna;10;58;1
466;44;1;universitario;1;0;0;mixta;4;122;0
467;29;0;tecnico;0;0;1;diurna;8;65;0
468;49;0;universitario;1;1;0;diurna;9;4;1
469;62;0;bachiller;0;0;1;diurna;15;120;0
470;56;0;tecnico;3;0;0;mixta;9;11;1
471;28;0;bachiller;1;0;0;diurna;9;37;0
473;38;1;bachiller;0;0;0;nocturna;10;53;0
474;47;1;bachiller;0;1;0;diurna;4;131;1
475;60;1;universitario;0;0;1;diurna;18;41;0
477;45;1;tecnico;2;0;1;diurna;12;31;1
478;44;0;bachiller;2;0;1;diurna;16;64;1
479;58;1;bachiller;1;0;0;mixta;9;139;0
480;40;1;tecnico;2;0;0;nocturna;10;123;1
481;35;1;tecnico;1;0;0;diurna;10;23;0
483;32;0;tecnico;3;0;0;diurna;10;77;0
484;35;0;universitario;5;1;0;nocturna;11;66;0
485;75;1;tecnico;1;0;0;diurna;9;121;0
486;77;1;tecnico;0;0;0;mixta;13;98;1
487;37;0;universitario;3;0;0;mixta;16;114;1
488;24;0;tecnico;1;0;0;diurna;4;52;0
490;48;1;tecnico;0;0;0;nocturna;4;12;0
492;74;1;tecnico;1;0;0;diurna;15;84;0
493;27;1;tecnico;1;0;0;diurna;10;43;1
494;42;0;tecnico;1;0;0;diurna;8;52;1
495;97;1;tecnico;2;0;1;nocturna;15;80;1
496;23;1;bachiller;3;0;1;diurna;6;2;0
497;45;1;bachiller;2;0;1;diurna;7;73;0
499;45;1;bachiller;5;0;0;diurna;14;92;0
500;27;0;tecnico;2;0;1;nocturna;8;122;1
501;41;1;universitario;0;0;1;diurna;9;128;1
502;36;0;tecnico;0;0;1;diurna;8;27;1
504;40;0;bachiller;1;0;0;mixta;14;68;0
505;55;0;tecnico;1;0;0;nocturna;7;14;1
506;64;1;universitario;1;1;1;diurna;2;57;0
508;36;0;tecnico;0;0;0;diurna;8;58;0
509;57;1;tecnico;4;0;1;mixta;5;61;0
510;23;0;universitario;2;0;0;diurna;3;126;1
514;41;0;tecnico;1;1;1;nocturna;12;48;0
515;34;0;tecnico;0;0;1;mixta;6;30;0
516;43;0;tecnico;3;0;1;diurna;6;28;0
517;34;1;tecnico;1;0;0;diurna;9;36;0
518;46;0;tecnico;1;0;1;diurna;14;34;0
519;35;1;tecnico;0;0;0;diurna;12;67;0
520;58;1;tecnico;1;0;1;diurna;1;147;0
522;44;1;bachiller;2;0;0;diurna;13;55;0
523;27;0;tecnico;2;0;0;mixta;10;99;0
524;43;0;universitario;2;0;0;diurna;7;97;0
525;39;0;tecnico;0;1;0;diurna;3;45;0
527;38;0;bachiller;0;1;1;mixta;1;3;1
528;58;0;universitario;1;1;1;diurna;13;26;1
529;50;0;bachiller;2;0;0;mixta;11;136;0
530;42;0;tecnico;0;0;0;diurna;7;53;0
532;58;1;tecnico;0;0;0;nocturna;11;132;1
533;41;1;tecnico;0;0;0;diurna;10;35;0
534;33;0;bachiller;2;0;0;nocturna;15;109;0
535;65;0;universitario;1;0;1;diurna;10;90;0
536;28;0;universitario;2;0;0;diurna;9;10;0
537;45;0;universitario;1;1;1;diurna;8;45;1
538;59;1;bachiller;0;0;0;diurna;5;61;1
539;49;0;tecnico;3;0;1;diurna;7;14;1
540;35;0;tecnico;3;0;1;diurna;9;89;0
541;34;0;bachiller;2;1;1;diurna;8;52;0
542;45;1;tecnico;0;0;1;diurna;8;57;1
543;48;0;tecnico;1;0;1;mixta;16;129;0
544;40;0;maestria;3;1;0;diurna;16;100;1
545;60;1;tecnico;1;0;1;diurna;13;124;0
546;39;1;bachiller;0;0;0;diurna;10;113;0
547;29;0;bachiller;3;0;0;diurna;7;39;0
548;48;0;universitario;2;0;0;mixta;6;147;0
550;46;1;universitario;0;0;0;diurna;4;35;1
551;47;0;tecnico;2;0;0;diurna;10;31;0
552;37;1;tecnico;3;1;1;nocturna;16;65;0
553;23;0;tecnico;1;0;1;mixta;6;8;0
554;34;1;tecnico;1;0;1;diurna;10;49;0
555;63;0;especializacion;1;1;0;nocturna;10;61;0
556;29;1;tecnico;3;0;0;nocturna;7;109;0
558;52;0;tecnico;1;0;0;diurna;11;110;0
559;32;0;tecnico;0;0;0;diurna;15;92;1
560;32;1;tecnico;1;0;0;nocturna;14;129;0
562;40;1;bachiller;1;1;0;diurna;10;92;0
563;51;1;universitario;1;0;1;diurna;20;107;0
564;31;0;tecnico;3;0;0;nocturna;7;90;0
565;31;1;tecnico;0;0;1;mixta;13;54;0
566;56;0;bachiller;1;0;0;diurna;10;71;0
567;36;0;bachiller;2;0;0;nocturna;3;61;0
568;38;0;tecnico;1;1;0;diurna;6;25;0
569;31;1;tecnico;3;0;1;mixta;8;22;1
570;54;1;bachiller;1;0;0;diurna;9;75;1
572;53;0;tecnico;2;1;0;diurna;12;119;0
573;52;1;tecnico;4;0;0;diurna;17;37;1
575;53;0;tecnico;1;0;0;diurna;8;72;0
576;55;1;tecnico;1;0;0;diurna;8;12;0
577;49;1;tecnico;3;0;0;diurna;7;76;0
578;70;0;bachiller;2;0;1;diurna;8;16;0
582;43;0;bachiller;4;0;0;diurna;8;89;0
583;64;0;universitario;0;1;0;diurna;11;47;0
584;65;0;tecnico;3;0;1;nocturna;8;145;1
585;47;0;tecnico;0;0;0;diurna;12;124;0
586;53;0;universitario;0;0;0;diurna;16;100;0
587;38;1;tecnico;2;0;0;diurna;12;121;0
588;47;1;bachiller;2;0;1;diurna;15;36;0
589;46;1;tecnico;3;0;0;diurna;8;9;1
590;29;0;universitario;0;1;0;diurna;11;123;0
591;36;1;tecnico;2;0;1;diurna;1;52;0
592;38;1;tecnico;5;1;0;diurna;19;94;0
593;61;1;tecnico;0;0;0;diurna;14;93;0
596;52;0;universitario;3;1;0;nocturna;11;102;0
598;33;1;bachiller;3;0;0;diurna;13;133;0
599;54;1;bachiller;2;0;0;diurna;10;11;0
600;29;1;bachiller;3;0;1;diurna;7;149;1
601;35;0;tecnico;0;0;0;nocturna;5;27;1
602;63;0;bachiller;2;0;1;diurna;11;75;1
603;48;0;tecnico;2;1;0;diurna;9;15;0
604;48;1;bachiller;3;0;0;mixta;10;26;0
605;38;1;especializacion;0;1;0;diurna;11;31;0
608;37;1;bachiller;0;0;0;diurna;10;113;0
609;70;0;universitario;0;0;1;diurna;12;11;0
610;43;1;tecnico;1;0;0;nocturna;10;125;1
611;42;0;universitario;5;0;1;diurna;10;93;1
612;45;0;bachiller;2;0;1;mixta;16;107;0
613;34;1;tecnico;0;0;0;diurna;8;103;0
615;80;1;tecnico;1;0;1;diurna;11;80;0
616;34;1;bachiller;0;0;0;nocturna;13;6;0
